book_title,rating,author,genre
iron flame the empyrean,4.1,rebecca yarros,fantasy romance
the woman in me,4.5,britney spears,memoir
my name is barbra,4.5,barbra streisand,autobiography
friends lovers and the big terrible thing a memoir,4.4,matthew perry,memoir
how to catch a turkey,4.8,adam wallace,childrens fiction
fourth wing the empyrean,4.8,rebecca yarros,fantasy
unwoke how to defeat cultural marxism in america,4.3,unknown,nonfiction politics
no brainer diary of a wimpy kid book,4.8,jeff kinney,humor middle grade
killers of the flower moon the osage murders and the birth of the fbi,4.4,david grann,nonfiction true crime
all the light we cannot see a novel,4.5,anthony doerr,historical fiction
the ballad of songbirds and snakes a hunger games novel the hunger games,4.6,suzanne collins,adventure war science fiction romance action thriller
night night,4.7,elie wiesel,memoir
atomic habits an easy proven way to build good habits break bad ones,4.8,james clear,selfimprovement nonfiction
stocking stuffer mad libs worlds greatest word game,4.8,leigh olsen,childrens storytimefiction
the laws of power,4.7,robert greene,nonfiction
the great disappearance ways to be rapture ready,4.6,david jeremiah,spiritual warfare biblical studies prophecy christian theology eschatology
lessons in chemistry a novel,4.6,bonnie garmus,fiction historical fiction
the exchange after the firm the firm series,4.1,john grisham,literary thrillers suspense
taylor swift a little golden book biography,4.9,wendy loggia,picture books biography
dont let the pigeon drive the sleigh,4.8,mo willems,picture books christmas holiday humor childrens fiction animals
turkey trouble,4.8,wendi silvano,picture books childrens holiday animals humor storytime fiction
the body keeps the score brain mind and body in the healing of trauma,4.8,bessel van der kolk,nonfiction psychology self help mental health health science
a court of thorns and roses a court of thorns and roses,4.6,sarah j maas,fantasy romance young adult fiction new adult fae
a little life,4.5,hanya yanagihara,fiction contemporary lgbt literary fiction queer adult mental health
world of eric carle around the farm button animal sound book great for first words pi kids,4.8,editors of publications international,childrens activities crafts games
goodnight goodnight construction site board book for toddlers childrens board book,4.9,sherri duskey rinker,picture book cars and trucks
the leaf thief the perfect fall book for children and toddlers,4.8,alice hemming,childrens
murtagh the world of eragon the inheritance cycle,4.8,christopher paolini,fantasy dragons young adult fiction high fantasy magic science fiction fantasy
brown bear brown bear what do you see,4.9,bill martin jr,picture book colors wild animals
balloons over broadway the true story of the puppeteer of macys parade bank street college of education flora stieglitz st,4.9,bill martin jr,childrens literature
the four agreements a practical guide to personal freedom a toltec wisdom book,4.7,melissa sweet,picture book
the housemaid,4.5,don miguel ruiz,spirituality selfhelp personal growth
how to know a person the art of seeing others deeply and being deeply seen,4.5,alice walstead,thriller mystery suspense
the very hungry caterpillar,4.9,david brooks,nonfiction
how to catch a reindeer,4.8,eric carle,childrens literature
