book_name,review_title,reviewer_rating,review_description,sentiment
the woman in me,unbelievably impressive her torn life on paper,4,im only a third way in shipped lightening fastthe print quality of the book is very good i like the rose and the purple foil they captured her taste here and will look bomb on my bookshelfas for the writing its good amazing no but they painted an incredible picture of her life much better writing than i thought to be honest i was expecting more scattered blurbs throughout the book but the way its presented does honor her experience and sounds like her up to an extent now i do think the ghost writer went verbose in some areas that were unnecessary which derailed her voice in my head but i imagine getting the whole picture would be difficulti was hoping for a thicker book as shes been through a lot so i am a bit disappointed at that but nevertheless its an interesting read thus faras for britneys life story i have to say they were smart in starting with her lineage and she didnt hold back keeping her family accountable from the gate good on her for having convictioni suddenly found myself understanding little quirks connecting the dots certain things would suddenly click in my head for example her british accent and her relationship with a lynchpin matriarch eldervery cool build up laying the ground work for her future decisions by presenting us with complex childhood family dynamics really has me understanding her choices and quirks much better than i ever realized i needed to be deep in thought ofsometimes we judge from a place of pity or outsider perspective instead of compassion now i see the soft gentle feminine side of her mindset that we knew when she was younger start to peek through the pages its that sweet part of her soul that she doesnt show much nowadays for good reason of course as shes been deeply hurt and damaged by others greed but that delicate nature is part of why most of us were charmed by her i hope she finds her way back one dayshes been through a lot and i found myself relating to things shed been through and feeling deeply saddened by her sense of insecurity in childhood her insights correlate along with many of my own life experiences and traumas i was taken aback by her growth in reflection as one would believe anger would be the easy way to portray her story not the case here its her appreciation for her past that has earned my deep respect beyond what i thought i had possessed prior to readingher story with her brother was touching and softened my distain for his participation in the matter of handling her affairs although i hope he is held accountable someday it shows how loving and innocent she was and how grave a loss she has suffered for it is those who are selfless that dont speak up only to suffer the mostsuch a contrast to the presentation of her character in the media thus far this book is an excellent read to be continued im looking forward to reading through this book in its entirety and will update when im done one star for the writing not sounding like her in some places i will change accordingly,positive
the woman in me,what a heartbreaking story,5,there have been so many times when i was scared to speak up because i was afraid somebody would think i was crazy but ive learned that lesson now the hard way you have to speak the thing that youre feeling even if it scares you you have to tell your story you have to raise your voicewhat a heartbreaking story whatever you feel about britney this memoir makes you understand and have empathy for all the things that have made headlines in her life it took me a little bit to get into it because though people believed this was going to be ghostwritten i believe the editors tried to keep it raw and in her voice so it does jump around a little bit and the flow can be off but it feels authentically britney i got to a point where i couldnt put it downand then there were parts i had to put it down because it was very difficult to read what she went throughi dont think i will look at any of her past interviews or performances the same and i wish her the bestin speaking of when her family forced her into a mental health facility after refusing to do a second tour in vegas and wanting to change up dance moves in a performancegod must have been with me through that period of time three months into my confinement i started to believe that my little heart whatever made me britney was no longer inside my body anymore something bigger must have been carrying me through because it was too much for me to bear alone i look at the fact that i survived and i think that wasnt me that was god,positive
the woman in me,britney you are so invincible you are an inspiration and helped motivate me to be strong like you,5,the media could not be loaded i personally have been in the same exact situations as some of these in britneys memoir my sons father illegally withheld my son from me for days when i have primary physical custody and sole legal custody the police wont take a child from a parents care regardless of court order the court system is a joke and didnt help at all i am an unemployed single mother so i didnt have a lawyer and no one in my family would help me because my parents dont have that kind of money and my nana and pop passed away all i have it wasnt until i filed an emergency hearing after all my other petitions were denied to finally be seen at court to get my son back the father even then refused so eventually after educating myself online for days and countless hours of research i made a petition asking the judge for police to use force as necessary to ensure i get my son back this time a little more than a week later the judge granted it the pain emotional turmoil absolute defeat despair depression anxiety grief guilt helplessness and being put down by everyone you thought was family and loved you i didnt do anything wrong either i had my son with no help from anyone his whole years of life working side jobs taking care of an old woman and cleaning dirty toilets to provide what he needed those sleepless nights crying wondering why this happened what your child is thinking or being told if he thinks he was abandoned when youre showing up with police escorts and every day fighting to get your child back but your son doesnt know that in my situation that whole petty situation was over my jealous sister trying to get me kicked out to take my room master bedroom my sons bedroom and a master bathroom i spent renovating old neglected house and the father not wanting to pay child support so they ganged up on us to be vindictive at the stake of my sons emotional and mental wellbeing every two weeks only visits dad days a month depending on how many weeks are in the month people are cruel you are only as good as you are giving once your hand closes you will have no one my son is still struggling months later with the emotional turmoil from the trauma they caused him hes having outbursts in school because of the trauma i still am also traumatized every time his visitation at his father comes i worry ill never see my child again and yes sometimes it makes me want to hide him too for anyone to judge you and your choices when you were literally helpless walking through the gates of hell and trembling with every step taking every single low blow and still not giving up doing it all alone no help evil experiences almost always revolve around money and evil people you are invincible no one will ever understand until they walk in those shoes dont you ever underestimate your resilience and strength you are strong you are amazing you are beautiful you can do it what those people did to you that were supposed to love you but instead used you to profit off your hard work prosperity and dedication i hope karma comes for them hard i can not imagine the trauma you have been through especially living under a microscope with hundreds of dangerous paparazzi men hungry for money and seeing your grief and pain profiting off your downfall when you were on top of the world chasing you and your children around with such disrespect and disregard to how that would affect your children and your emotional and mental health is disgusting you were put in fight or flight mode given ptsd betrayed and locked up like a prisoner while everyone took all of your money you worked hard for building your empire for the family you always dreamed of creating please stay strong and keep fighting for your happiness you deserve to live the life of your wildest dreams you deserve to be the happy woman that got to enjoy doing what she loved you deserve to do what you want when you want you are worth it you know who you are what youve done and what you are capable of now pick up that crown queen of pop scream you wont give up and win,positive
the woman in me,fast read sad story,5,i have been a fan of britneys music since the s she is just a couple years older than me i didnt love how she dressed or how sexy she was on the tv screen because i felt like i was expected to look and act just like her at the time she definitely influenced fashion and hair and young womens actions however that is not entirely her faultthe paparazzi was insane around her there were so many tabloids and photos taken of her throughout the years that by the time i reached age or i refused to purchase or even pick up a magazine while standing at the store checkout in solidarity with britney what they did to her was disgusting invasive and abusive it makes my skin crawl just thinking about itbut her music was fire the mixture of dub step rhythms with her music was so fun and energetic i still listen to it from time to time and dancethe book was written pretty simply you can see that she has done some therapy and has gained some insight into her life her history she is trying to understand why she did the things she did and why she trusted those she trusted the kinds of betrayals she has endured in the past two decades will need some serious cbt to rewrite those neuropathways into a healthier train of thoughtour society is still learning what entails abuse and what does not ive definitely felt my share of emotional and psychological abuse it hangs inside of your thoughts long after youve stopped being around those people you must be constantly diligent to stop those negative thoughts toward yourself and to rewrite what your mind says to you you hear what your mind tells you way more often than you hear negative words from others you are with you of the time theres nowhere to run so you need to become your own best friendi hope this book was written by her and that she is receiving the payments from purchases i hope that she wrote it and it was done with her consent i find the timing of the release of this book crucial but maybe if i was released from prison i would run to publish my side of the story too i would have probably been writing in journals the entire timei hope she heals she seems to be on her way i hope she simplifies her life and stops letting outsiders inside of her mind the book was easy to read doesnt get too deep into her psyche it is very surface level she is telling her story its not super deep or introspective or thought provoking in any particular way i am definitely confused as to why the conservatorship was done in the first place and then held for years but i was already informed about that before the book i read the book in and hoursmany times i wished that she would tell more details of one story or other but so much of her life has been an invasion of privacy that i understand maybe she doesnt want to allow more than just the surface level story out there its her choice,positive
the woman in me,buy it its worth the read,5,whether or not youre a fan its a great read britney takes you in her world and shares her perspective of how hateful the tabloid tv hosts and paparazzi was and still is to her the vile hateful ignorant comments towards her that people got away with in the s is incomprehensible really all the while she stood tall taking every blow and silently suffered through it she was always perceived as dumb but i never thought that she carried herself with dignity and gave everyone respect even if they didnt reciprocate it from what ive gathered by reading her words she didnt have a enough people in her corner looking out for her the struggles she shared about motherhood i felt so connected to its difficult enough experiencing it in the comfort of your own home with people who love you and care about you but to experience that all while the world was watching and scrutinizing everything you do seems agonizing society still sets impossible standards for women and mothers but men can do something as simple as take their kids to school and be sung as heroes the judgment you feel amongst your own community of fellow parents is hard and can really make you second guess yourself as a parent but on the scale of a celebrity it seems impossible to do any good or anything right i cant ever imagine putting my kid through any of the horrible experiences her own family put her through but not everyone is fit to be a parent and from what ive read her parents fit that mold very well overall it is an exceptionally well written book and full of quirky humor that sheds a warm light on the britney i grew up watching loving and admiring her strength and grit is unmatched i hope this gives her solace and she thrives from this point on to find herself,positive
the woman in me,a mustread for anyone whos seeking freedom or overcoming imposter syndrome,5,i had to finish the book in a week because i needed breaks although its a quickread it reads lyrical like her music very catchy and vivid its dark like the color of the coverif everything stated in the memoir is true shouldnt her father and his posse be arrested or at least sued for fraud or abuseis it just me or do her parents resemble jefferey epstein and ghislane maxwell who kept britney as a sex slave for years just to use her body to create cash flowwhy is it when shes flying solo the families fell apart parents divorced sister tried to disown them and when shes under conservatorship her family got reunited parents got back together watching criminal minds every night and sister and father bondedwhen she became an icon she became a thing people would judge or vent on she never had a life and because of that her growth or womanhood was stunted she talked about what meant everything to her music family sons its saddening to learn that in the end the simple desires of having everything almost killed her it became worse when she had no one to help or maybe people were just preoccupied with their own struggles as alwaysamong her ordeal she noted people she drew inspirations from madonna jlo reese witherspoon and the woman in her that had been suppressed for decadesthats what happened not fair and horrific her kind soul and eager for happiness eventually set her free from imprisonment hope she will make up and catch up with life,positive
the woman in me,our queen has spoken,5,the world has had access to britney spears memoir for one week and bookstagram is flooded with opinions and reviews but since this is the latest kayce star i have to tell you why and leave you my full reviewive been a britney fan since day one and have seen the relentless paparazzi coverage of her for years everyone has an opinion on britney judge her and think they know everything based on what theyve seen in magazines and online finally speaking for herself this memoir tells us about all those stories we think we knew but from her perspectivewhile the memes and reels about justin are pretty funny since this came out britney went through a very traumatic experience with him you know the one and our girl held that in for twenty years and why wouldnt she thats an incredibly personal decision and all the while the media villainized her and praised him i really dont care what justin thinks about britneys revelations he made his choices then and shes making her choices now never once does she victimize herself but simply tells us how she felt through all the ups and downs personally and professionallyyou get fun stories too about her favorite album favorite performances celebs she admires and more britney admits she is not good at fame girl we know and none of us would be either if britney never gets on another stage for the rest of her life i wouldnt blame her for one second but given how healing music is for her i wouldnt be surprised if we got more music one day and if its on her terms i bet it will be the best shes ever releasedsince the woman in me is just pages i thought it would feel short and unfinished but she did a great job recapping up to present day shes so brave and stronger than she realizes and her love for her sons is on every page cheers to britney may she continue to heal and surround herself with people who love her and dont want to use or exploit her she still has her beautiful heart despite everything and i think thats a huge testament to her strengthhighly recommend my besties memoir stars,positive
the woman in me,beyond the content lies the conversation,5,i absolutely adored every minute of this audiobook while the stories are heartwrenching and even somewhat uncomfortable to hear you have to admire the sheer amount of bravery and fortitude it took for britney to finally sit down and tell her side of the story is it the as a court would say the whole truth and nothing but the truth well never know because we are the outside spectators to these stories many of which were only hearing for the first time many of the stories that are contained within these pages are so steeped in lore and speculation that discerning the actual truth would be about as likely as proving the existence of god or coming up with a satisfactory solution to the abortion issue what is true about this book however is that its existence will allow for a bigger conversation to take place not just around the issues of mental health but of the sensationalization of media coverage the brutal realities of being a windup doll for public consumption and the ethics of a mental health conservatorship i applaud britney as well as michelle williams for both bringing this book and these stories to both light and life i recommend that anyone who has ever been curious about britneys life or any of the other concepts ive mentioned read this book immediately and often,positive
the woman in me,in her words heartbreaking and hopeful,5,her life and story told in her words britney spears has had an expansive career and her face has been splattered on many covers of magazines accompanied by stories that photos and showed whatever it took to make those people rich they were never telling her storybritney tells the story of her life with raw honesty she speaks of happiness joy sadness trauma love rejection rumors heartache and being used by so many people around her people who should have loved protected and guided her her early days when she truly felt joy in the music and dance how that became an escape for her she talks about her love life setting records straight there is no fingerpointing or blame just the truth about who she loved how she loved and her dreams for lifeshe talks about her boys in a way that all mothers can relate to her desperation to just be able to see them to be able to be with them how they were used as a weapon used to get her to perform her experiences with the paparazzi how relentless and cruel they were as a mother i cant imagine what i would have done especially with newborns and having ppdshe speaks about the conservatorship she shares the horrible things her father put her through the fear she asks over and over again why am i under this conservatorship yet i am still working making money supporting people why was she a woman who wasnt able to make the simplest of choices for herself for her bodythis memoir is a quick read it isnt hollywood gossip it is a story of a woman who is moving on in her faith a survivori pray she finds the peace that she truly seeks,positive
the woman in me,britney do not stop being you,5,i bought the book thinking it would arrive before i left for vacation it didnt so i bought the audiobook as welli listened to the audiobook nonstop i felt every little bit of feeling listening to michelle williams read britneys memoir britneys life is poignant utterly devastating and full of love and hope all at the same time ive been a britney fan since baby one more time her music brings about feelings of nostalgia from my youth and she reminds me of everything good from that time in the early s i saw and read in the media back then how britney was portrayed and how relentlessly the paps chased her like britney said like she wasnt human it was a daily thing and i felt so devastated for britney people criticized her destroyed her image all that ahhh i cried listening to this memoir i have nothing but respect and love for britney she is one strong woman for coming out in one piece after what her father and the rest of her family did to her you can feel how much britney loves her boys and as a parent myself i would do anything for my kids just as she britney you are an inspiration for strength resilience love and hope girl do not stop being you i love you and i will and the rest of your loyal fans will have your back no matter what,positive
